session_id,intention,category,started_at_ms,stopped_at_ms,duration_seconds,outcome,reflection,created_at_ms
1,Write unit tests,Coding,1767265800000,1767267000000,1200,yes,good energy today; good rhythm,1767267420000
2,Prepare summary,Writing,1767358800000,1767360300000,1500,yes,good flow while writing,1767360900000
3,Build export pipeline,Coding,1767354300000,1767356100000,1800,yes,quiet environment helped,1767356280000
4,Implement login screen,Coding,1767345300000,1767347400000,2100,yes,easy to continue after starting,1767347760000
5,Refactor coach card,Coding,1767472200000,1767474000000,1800,no,phone distraction and low energy,1767474180000
6,Build export pipeline,Coding,1767447900000,1767450000000,2100,yes,quiet environment helped,1767450420000
7,Write unit tests,Coding,1767519600000,1767522300000,2700,partial,late night coding felt heavy,1767522780000
8,Sort priorities,Planning,1767542400000,1767543000000,600,partial,planning became overthinking,1767543240000
9,Read research paper,Reading,1767598800000,1767600600000,1800,no,phone and tiredness interrupted me; phone distraction,1767600780000
10,Write reflection notes,Writing,1767619200000,1767621000000,1800,partial,too tired to write clearly,1767621060000
11,Organize backlog,Planning,1767654600000,1767655500000,900,partial,too many interruptions; school stress,1767655980000
12,Fix bug in timer logic,Coding,1767732600000,1767733800000,1200,partial,too tired after school,1767733980000
13,Practice exam problems,Study,1767698100000,1767698700000,600,partial,hard to stay with the material,1767699120000
14,Fix bug in timer logic,Coding,1767829500000,1767831300000,1800,no,late night coding felt heavy; school stress,1767831480000
15,Write unit tests,Coding,1767786600000,1767788400000,1800,yes,felt focused and clear,1767788700000
16,Refactor coach card,Coding,1767889200000,1767891000000,1800,no,late night coding felt heavy; phone distraction,1767891180000
17,Build export pipeline,Coding,1767948000000,1767948600000,600,partial,too tired after school,1767949020000
18,Write unit tests,Coding,1767962700000,1767963900000,1200,partial,phone distraction and low energy; school stress,1767964020000
19,Solve exercises,Study,1768074300000,1768074900000,600,partial,low energy and weak memory,1768075200000
20,Prepare summary,Writing,1768065600000,1768066200000,600,no,unclear ideas and stress,1768066500000
21,Implement login screen,Coding,1768122000000,1768124700000,2700,yes,easy to continue after starting,1768124940000
22,Read research paper,Reading,1768138800000,1768139700000,900,partial,text felt too dense at this hour,1768139760000
23,Study algorithms,Study,1768205700000,1768206900000,1200,yes,review session went smoothly,1768207440000
24,Build export pipeline,Coding,1768219800000,1768221000000,1200,yes,easy to continue after starting; good rhythm,1768221060000
25,Write lab report,Writing,1768302900000,1768303500000,600,partial,late session and low motivation,1768304040000
26,Write thesis section,Writing,1768321200000,1768322700000,1500,yes,simple task and strong focus,1768322820000
27,Study algorithms,Study,1768434300000,1768434900000,600,partial,school fatigue and poor focus,1768435500000
28,Implement login screen,Coding,1768476600000,1768478100000,1500,yes,easy to continue after starting; good rhythm,1768478220000
29,Write unit tests,Coding,1768470000000,1768470600000,600,no,hard to start because mind was scattered,1768470840000
30,Read thesis notes,Reading,1768470000000,1768471800000,1800,yes,short breaks worked well; good rhythm,1768472040000
31,Refactor coach card,Coding,1768587600000,1768590300000,2700,no,too tired after school,1768590360000
32,Review goals,Planning,1768664400000,1768665600000,1200,yes,organized thoughts well,1768665900000
33,Review lecture notes,Study,1768662600000,1768665300000,2700,no,hard to stay with the material; school stress; phone distraction,1768665840000
34,Solve exercises,Study,1768729200000,1768731000000,1800,partial,kept switching tasks; phone distraction,1768731120000
35,Memorize definitions,Study,1768842900000,1768843500000,600,partial,hard to stay with the material,1768843920000
36,Organize backlog,Planning,1768853400000,1768854900000,1500,yes,planning felt light and useful,1768854960000
37,Refactor coach card,Coding,1768822200000,1768824900000,2700,yes,good energy today,1768825140000
38,Read documentation,Reading,1768900800000,1768902300000,1500,partial,noise broke concentration,1768902360000
39,Memorize definitions,Study,1768909800000,1768911300000,1500,partial,low energy and weak memory,1768911900000
40,Refactor coach card,Coding,1768986600000,1768989300000,2700,no,too tired after school; phone distraction,1768989360000
41,Read documentation,Reading,1769107500000,1769108700000,1200,no,school stress made reading hard; phone distraction,1769108940000
42,Write thesis section,Writing,1769162400000,1769163600000,1200,yes,low distraction and steady progress; good rhythm,1769163720000
43,Read documentation,Reading,1769166600000,1769167200000,600,yes,short breaks worked well,1769167620000
44,Study algorithms,Study,1769289600000,1769290800000,1200,yes,steady attention during study; good rhythm,1769291040000
45,Write thesis section,Writing,1769249400000,1769252100000,2700,yes,good flow while writing; good rhythm,1769252580000
46,Draft README,Writing,1769362200000,1769363400000,1200,partial,kept checking phone,1769363880000
47,Read documentation,Reading,1769444400000,1769445900000,1500,yes,calm morning helped reading; good rhythm,1769446380000
48,Implement login screen,Coding,1769417400000,1769418900000,1500,no,phone distraction and low energy,1769419140000
49,Organize backlog,Planning,1769632800000,1769633700000,900,yes,clear priorities today,1769634240000
50,Implement login screen,Coding,1769596200000,1769597700000,1500,yes,quiet environment helped,1769598060000
51,Read OS chapter,Reading,1769716200000,1769718000000,1800,yes,fresh mind for reading; good rhythm,1769718420000
52,Read documentation,Reading,1769711400000,1769712000000,600,no,noise broke concentration; phone distraction,1769712120000
53,Refactor coach card,Coding,1769690700000,1769692800000,2100,yes,felt focused and clear; good rhythm,1769693520000
54,Draft README,Writing,1769769000000,1769770500000,1500,yes,writing felt easier than expected,1769770680000
55,Memorize definitions,Study,1769775300000,1769776500000,1200,yes,steady attention during study,1769776560000
56,Memorize definitions,Study,1769843400000,1769844300000,900,partial,kept switching tasks,1769844960000
57,Refactor coach card,Coding,1769819400000,1769820900000,1500,no,phone distraction and low energy; school stress,1769821560000
58,Prepare study plan,Planning,1770035400000,1770038100000,2700,partial,too many interruptions; school stress,1770038460000
59,Organize backlog,Planning,1770025200000,1770027000000,1800,no,mental fatigue reduced clarity,1770027420000
60,Build export pipeline,Coding,1770025200000,1770026700000,1500,yes,easy to continue after starting,1770026880000
61,Write unit tests,Coding,1770118800000,1770120300000,1500,yes,easy to continue after starting,1770120540000
62,Write lab report,Writing,1770124500000,1770125700000,1200,no,late session and low motivation; phone distraction,1770125820000
63,Read thesis notes,Reading,1770192000000,1770192600000,600,no,school stress made reading hard,1770193260000
64,Solve exercises,Study,1770192600000,1770193500000,900,yes,questions were manageable,1770194160000
65,Plan tomorrow tasks,Planning,1770325800000,1770327300000,1500,yes,clear priorities today; good rhythm,1770327900000
66,Build export pipeline,Coding,1770487800000,1770489900000,2100,partial,phone distraction and low energy; phone distraction,1770490020000
67,Read thesis notes,Reading,1770541200000,1770543000000,1800,yes,fresh mind for reading,1770543300000
